"unigram","frequency"
"budget",120
"fight",120
"jobs",120
"key",120
"league",120
"sent",120
"similar",120
"total",120
"voice",120
"wonder",120
"expected",119
"non",119
"study",119
"won't",119
"gives",118
"giving",118
"t",118
"tax",118
"c",117
"create",117
"let's",117
"staff",117
"she's",116
"situation",116
"truth",116
"b",115
"ball",115
"chicken",115
"hold",115
"husband",115
"inside",115
"led",115
"paul",115
"personal",115
"potential",115
"sign",115
"sleep",115
"written",115
"marriage",114
"moved",114
"position",114
"received",114
"rock",114
"serious",114
"statement",114
"table",114
"yesterday",114
"answer",113
"cannot",113
"hospital",113
"opportunity",113
"lunch",112
"miles",112
"send",112
"success",112
"certain",111
"cheese",111
"co",111
"met",111
"residents",111
"anyway",110
"base",110
"below",110
"dead",110
"definitely",110
"focus",110
"helped",110
"quality",110
"quickly",110
"simple",110
"you’re",110
"example",109
"families",109
"interest",109
"seem",109
"sort",109
"training",109
"average",108
"chief",108
"current",108
"extra",108
"feet",108
"further",108
"hands",108
"jesus",108
"killed",108
"r",108
"step",108
"version",108
"beach",107
"double",107
"drop",107
"july",107
"performance",107
"practice",107
"straight",107
"bank",106
"beginning",106
"boys",106
"details",106
"expect",106
"industry",106
"opened",106
"paid",106
"piece",106
"sorry",106
"sounds",106
"vote",106
"amount",105
"daughter",105
"despite",105
"drink",105
"effort",105
"football",105
"member",105
"plus",105
"sell",105
"sun",105
"tweet",105
"created",104
"financial",104
"gift",104
"ice",104
"weather",104
"changes",103
"david",103
"driving",103
"perhaps",103
"yourself",103
"choose",102
"cleveland",102
"credit",102
"customers",102
"drug",102
"groups",102
"okay",102
"begin",101
"character",101
"eating",101
"eight",101
"goals",101
"internet",101
"passed",101
"places",101
"seven",101
"sound",101
"welcome",101
"benefits",100
"blue",100
"brought",100
"california",100
"fast",100
"fourth",100
"heat",100
"itself",100
"regular",100
"rules",100
"serve",100
"starts",100
"texas",100
"usually",100
"announced",99
"completely",99
"fell",99
"floor",99
"judge",99
"knows",99
"learned",99
"toward",99
"view",99
"you've",99
"album",98
"costs",98
"cup",98
"design",98
"dream",98
"fair",98
"hall",98
"hearing",98
"legal",98
"pain",98
"society",98
"super",98
"title",98
"track",98
"afternoon",97
"allowed",97
"charge",97
"fan",97
"funny",97
"island",97
"period",97
"portland",97
"ran",97
"river",97
"technology",97
"type",97
"website",97
"wide",97
"calls",96
"certainly",96
"data",96
"kid",96
"mail",96
"mike",96
"november",96
"positive",96
"press",96
"prices",96
"save",96
"article",95
"biggest",95
"body",95
"coffee",95
"consider",95
"ground",95
"guard",95
"join",95
"mine",95
"officers",95
"original",95
"poor",95
"relationship",95
"results",95
"rights",95
"value",95
"wine",95
"a.m",94
"ahead",94
"built",94
"crazy",94
"crime",94
"daily",94
"deep",94
"economy",94
"interested",94
"los",94
"p",94
"popular",94
"present",94
"scene",94
"sit",94
"teacher",94
"there’s",94
"trade",94
"band",93
"brother",93
"committee",93
"complete",93
"earth",93
"failed",93
"filled",93
"growing",93
"image",93
"lake",93
"pages",93
"property",93
"recipe",93
"restaurant",93
"review",93
"upon",93
"watched",93
"wear",93
"beat",92
"happens",92
"kept",92
"mention",92
"player",92
"stage",92
"absolutely",91
"annual",91
"bowl",91
"cream",91
"dr",91
"ended",91
"increase",91
"la",91
"role",91
"senior",91
"shit",91
"spending",91
"wasn’t",91
"whatever",91
"winning",91
"angeles",90
"beyond",90
"born",90
"cards",90
"clean",90
"cook",90
"dark",90
"fear",90
"force",90
"listen",90
"ones",90
"projects",90
"released",90
"smile",90
"waiting",90
"agency",89
"catch",89
"characters",89
"difference",89
"forget",89
"fresh",89
"lived",89
"missouri",89
"opening",89
"professional",89
"re",89
"valley",89
"fashion",88
"lack",88
"loss",88
"offers",88
"photo",88
"result",88
"romney",88
"size",88
"square",88
"warm",88
"x",88
"alone",87
"attention",87
"continued",87
"facebook",87
"imagine",87
"included",87
"louis",87
"luck",87
"normal",87
"organization",87
"overall",87
"related",87
"risk",87
"tour",87
"union",87
"window",87
"address",86
"earned",86
"enjoyed",86
"except",86
"he’s",86
"keeping",86
"kitchen",86
"named",86
"nine",86
"sale",86
"seat",86
"sex",86
"sister",86
"sold",86
"teams",86
"terms",86
"walking",86
"agreed",85
"immediately",85
"interview",85
"justice",85
"language",85
"lord",85
"message",85
"officer",85
"product",85
"signed",85
"smith",85
"sugar",85
"supposed",85
"telling",85
"test",85
"trial",85
"truly",85
"allow",84
"cases",84
"efforts",84
"figure",84
"items",84
"mix",84
"n",84
"planning",84
"reality",84
"rich",84
"served",84
"sharing",84
"winter",84
"dad",83
"followed",83
"includes",83
"james",83
"missed",83
"natural",83
"offered",83
"onto",83
"putting",83
"snow",83
"taste",83
"throughout",83
"various",83
"author",82
"die",82
"evening",82
"exactly",82
"fit",82
"holiday",82
"leaving",82
"nature",82
"photos",82
"safe",82
"shop",82
"showed",82
"workers",82
"you'll",82
"collection",81
"economic",81
"french",81
"greater",81
"january",81
"largest",81
"loans",81
"particular",81
"previous",81
"push",81
"safety",81
"seemed",81
"shopping",81
"teachers",81
"winner",81
"ya",81
"arizona",80
"busy",80
"chris",80
"dress",80
"election",80
"grand",80
"leading",80
"limited",80
"majority",80
"numbers",80
"plenty",80
"realized",80
"roll",80
"totally",80
"approach",79
"arrived",79
"bag",79
"build",79
"construction",79
"defense",79
"hill",79
"hoping",79
"sitting",79
"spot",79
"traditional",79
"vehicle",79
"we’re",79
"wouldn't",79
"ability",78
"arts",78
"box",78
"changed",78
"chocolate",78
"compared",78
"contact",78
"dance",78
"degree",78
"draft",78
"gas",78
"hurt",78
"latest",78
"pieces",78
"quick",78
"range",78
"release",78
"response",78
"trust",78
"victory",78
"wall",78
"americans",77
"arrested",77
"currently",77
"etc",77
"eventually",77
"familiar",77
"j",77
"leaves",77
"modern",77
"older",77
"owner",77
"proud",77
"runs",77
"speaking",77
"spirit",77
"spokesman",77
"worst",77
"account",76
"activities",76
"additional",76
"al",76
"comment",76
"damn",76
"evidence",76
"feels",76
"florida",76
"grow",76
"heavy",76
"jones",76
"listening",76
"model",76
"products",76
"ride",76
"rose",76
"touch",76
"ur",76
"becoming",75
"clearly",75
"considering",75
"creative",75
"edge",75
"herself",75
"programs",75
"shots",75
"tells",75
"tom",75
"tough",75
"weight",75
"battle",74
"block",74
"cake",74
"camera",74
"cross",74
"doctor",74
"freedom",74
"glad",74
"land",74
"lose",74
"manager",74
"missing",74
"pair",74
"plant",74
"seconds",74
"seriously",74
"shoes",74
"subject",74
"thomas",74
"trees",74
"unless",74
"areas",73
"attack",73
"award",73
"bay",73
"calling",73
"christian",73
"december",73
"giants",73
"i’d",73
"jack",73
"management",73
"meal",73
"o",73
"production",73
"rain",73
"readers",73
"reported",73
"reports",73
"selling",73
"unfortunately",73
"aren't",72
"ass",72
"broken",72
"comments",72
"cute",72
"designed",72
"fighting",72
"johnson",72
"lady",72
"lovely",72
"provided",72
"reasons",72
"sad",72
"sick",72
"wedding",72
"artist",71
"cars",71
"cash",71
"caught",71
"cities",71
"closed",71
"couldn't",71
"debt",71
"english",71
"focused",71
"forced",71
"gay",71
"isn’t",71
"joe",71
"london",71
"meant",71
"mostly",71
"none",71
"physical",71
"plants",71
"prepared",71
"remain",71
"salt",71
"section",71
"signs",71
"williams",71
"worry",71
"accept",70
"brand",70
"charges",70
"dear",70
"eggs",70
"foot",70
"garden",70
"global",70
"hell",70
"impact",70
"kill",70
"minute",70
"oil",70
"returned",70
"senate",70
"songs",70
"speak",70
"they’re",70
"vision",70
"we'll",70
"association",69
"blazers",69
"bottom",69
"caused",69
"competition",69
"employees",69
"excellent",69
"fat",69
"gold",69
"growth",69
"ill",69
"i’ll",69
"leader",69
"reach",69
"rice",69
"stores",69
"surprised",69
"voters",69
"access",68
"anti",68
"anymore",68
"baseball",68
"bigger",68
"cancer",68
"central",68
"commission",68
"environment",68
"episode",68
"fill",68
"finish",68
"firm",68
"fuck",68
"glass",68
"ha",68
"inches",68
"king",68
"m",68
"martin",68
"matt",68
"menu",68
"multiple",68
"names",68
"parties",68
"picked",68
"purchase",68
"receive",68
"science",68
"standing",68
"throw",68
"adding",67
"amp",67
"appeared",67
"avoid",67
"basketball",67
"camp",67
"classic",67
"combination",67
"common",67
"culture",67
"downtown",67
"location",67
"mayor",67
"novel",67
"peter",67
"planned",67
"pull",67
"shooting",67
"spread",67
"stock",67
"stupid",67
"who's",67
"breakfast",66
"british",66
"charles",66
"davis",66
"diego",66
"homes",66
"hotel",66
"mentioned",66
"official",66
"peace",66
"raised",66
"remove",66
"session",66
"tea",66
"text",66
"twice",66
"vs",66
"yards",66
"choice",65
"considered",65
"continues",65
"critical",65
"crowd",65
"dropped",65
"easily",65
"francisco",65
"headed",65
"hi",65
"highly",65
"learning",65
"letter",65
"liked",65
"losing",65
"meat",65
"option",65
"paying",65
"policy",65
"protection",65
"radio",65
"raise",65
"shall",65
"sides",65
"slightly",65
"steve",65
"talked",65
"ten",65
"tickets",65
"travel",65
"tree",65
"walked",65
"western",65
"adult",64
"apparently",64
"businesses",64
"chairman",64
"colors",64
"core",64
"decide",64
"degrees",64
"doubt",64
"drove",64
"f",64
"faith",64
"features",64
"feb",64
"hits",64
"leaders",64
"library",64
"mouth",64
"movies",64
"oven",64
"pack",64
"sat",64
"skin",64
"slow",64
"state's",64
"thousands",64
"wearing",64
"won’t",64
"yellow",64
"abuse",63
"agreement",63
"ah",63
"animals",63
"appreciate",63
"artists",63
"championship",63
"conservative",63
"conversation",63
"ends",63
"february",63
"followers",63
"funds",63
"junior",63
"kick",63
"loving",63
"military",63
"omg",63
"orange",63
"published",63
"reached",63
"talent",63
"thoughts",63
"wanna",63
"animal",62
"apple",62
"aside",62
"changing",62
"china",62
"chinese",62
"coast",62
"decisions",62
"delicious",62
"democrats",62
"european",62
"g",62
"healthy",62
"individual",62
"larger",62
"museum",62
"offensive",62
"pop",62
"respect",62
"stopped",62
"turns",62
"usual",62
"via",62
"addition",61
"appeal",61
"becomes",61
"blood",61
"button",61
"commercial",61
"computer",61
"everybody",61
"exciting",61
"finding",61
"insurance",61
"laugh",61
"match",61
"neighborhood",61
"obviously",61
"powerful",61
"prison",61
"proposed",61
"realize",61
"serving",61
"sites",61
"soft",61
"stick",61
"worse",61
"appear",60
"audience",60
"citizens",60
"classes",60
"consumers",60
"count",60
"dollar",60
"honor",60
"laid",60
"mad",60
"opinion",60
"republican",60
"rick",60
"secret",60
"shared",60
"surprise",60
"tired",60
"advance",59
"alcohol",59
"benefit",59
"birth",59
"candidate",59
"contract",59
"cuts",59
"de",59
"dogs",59
"europe",59
"fully",59
"guilty",59
"helps",59
"joined",59
"knowledge",59
"lets",59
"lines",59
"magic",59
"material",59
"memories",59
"particularly",59
"parts",59
"pool",59
"primary",59
"q",59
"robert",59
"showing",59
"source",59
"teaching",59
"victims",59
"airport",58
"apart",58
"background",58
"beers",58
"carry",58
"concerned",58
"condition",58
"countries",58
"debate",58
"detroit",58
"dollars",58
"dreams",58
"forever",58
"inspired",58
"killing",58
"link",58
"loves",58
"maryland",58
"nor",58
"passing",58
"posted",58
"records",58
"remains",58
"rise",58
"search",58
"sept",58
"stadium",58
"stuck",58
"successful",58
"talks",58
"television",58
"trouble",58
"weird",58
"whom",58
"willing",58
"wow",58
"yard",58
"buying",57
"creating",57
"doctors",57
"dont",57
"driver",57
"dude",57
